Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,ON Semiconductor CorpON:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$75.61
Ro KhannaDemocratHouseCA,Enphase Energy IncENPH:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$117.54
Ro KhannaDemocratHouseCA,The Walt Disney CoDIS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$89.29
Ro KhannaDemocratHouseCA,Verisign IncVRSN:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$203.42
Ro KhannaDemocratHouseCA,Philip Morris International IncPM:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$94.47
Ro KhannaDemocratHouseCA,Biogen IncBIIB:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$254.23
Ro KhannaDemocratHouseCA,Ameriprise Financial IncAMP:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$377.99
Ro KhannaDemocratHouseCA,Moody's Corp.MCO:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$376.59
Ro KhannaDemocratHouseCA,Meta Platforms IncMETA:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$370.47
Ro KhannaDemocratHouseCA,Electronic Arts IncEA:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$137.63
Ro KhannaDemocratHouseCA,Livent CorpLTHM:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$6.09
Ro KhannaDemocratHouseCA,iShares International Equity- ETFs  iShares MSCI Japan ETFEWJ:US,7 Feb2024,12 Jan2024,days24,Spouse,buy,1K–15K,N/A
Ro KhannaDemocratHouseCA,iShares MSCI Australia ETFEWA:US,7 Feb2024,12 Jan2024,days24,Spouse,buy,1K–15K,N/A
Ro KhannaDemocratHouseCA,UBS Group AGUBS:US,7 Feb2024,12 Jan2024,days24,Spouse,buy,1K–15K,N/A
Ro KhannaDemocratHouseCA,SanofiSNY:US,7 Feb2024,12 Jan2024,days24,Spouse,buy,1K–15K,N/A
Ro KhannaDemocratHouseCA,CBOE MINI SPX INDEXXSP:US,7 Feb2024,9 Jan2024,days27,Spouse,sell,1K–15K,N/A
Ro KhannaDemocratHouseCA,Mastercard IncMA:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,100K–250K,$428.27
Ro KhannaDemocratHouseCA,Alphabet IncGOOGL:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,100K–250K,$142.28
Ro KhannaDemocratHouseCA,Cisco Systems IncCSCO:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,50K–100K,$50.24
Ro KhannaDemocratHouseCA,S&P Global IncSPGI:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,50K–100K,$433.13
Ro KhannaDemocratHouseCA,PepsiCo IncPEP:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$166.92
Ro KhannaDemocratHouseCA,Nike IncNKE:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$103.77
Ro KhannaDemocratHouseCA,Applied Materials IncAMAT:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$149.81
